,Participant,Narrative,Event,Nativeness,Exposure,Right_Hand_Movement_Amplitude,Left_Hand_Movement_Amplitude,Right_S_to_W_Distance,Left_S_to_W_Distance,Left_S_to_W_Distance_Change,Right_S_to_W_Distance_Change,Left_Speed,Right_Speed,Event_Duration
124,23,6,8,Late,13-17,7.707202664421655,8.250768924949062,62.67952504627835,71.70185353578934,2.190417296778646,1.7765391077731874,0.007631686514863347,0.007128905823980369,4.64
125,23,9,4,Late,13-17,10.506019818894785,11.244436980944895,124.06729276907659,136.0975516586433,2.6503038210833534,2.4289510804808616,0.002721701355701432,0.002542968441422952,9.08
126,23,10,5,Late,13-17,12.913149363227475,13.678170416253627,130.6193361493144,156.22958307661645,3.943013973937019,3.2104302804168463,0.00234971662479448,0.0022182968053369536,10.78
127,24,2,5,Native,0-3,5.554319450160505,5.839413260689581,131.0090405044917,151.06086158045943,1.564930812360954,1.166538501713563,0.0017496683867543928,0.0016642454846111105,8.16
128,24,2,6,Native,0-3,7.00788250965164,7.4144433399960095,198.42711444280772,249.82350956506457,1.7002990637594635,1.1306149157057899,0.0009296128483013713,0.0008786388028911865,12.62
129,24,2,7,Native,0-3,2.7023146645185956,2.984171370121967,69.54938120914362,85.09022316015394,0.7355119019130323,0.5350134613599848,0.0034654535606210143,0.003138139474775404,4.14
130,24,3,2,Native,0-3,1.2655303662508088,1.3394839434593744,50.52130944876251,61.17615010019802,0.3625134549279127,0.08614995980546009,0.002567832113065283,0.0024260608202032225,3.2199999999999998
131,24,3,4,Native,0-3,2.675657838353938,2.822045835321845,60.76145682753765,74.62313273007122,0.7630942778421236,0.4206208162453242,0.0036918443685529114,0.0035003373081553355,3.9
132,24,6,4,Native,0-3,0.6558826749709147,0.6711123958587519,30.32856859130261,31.220315855013055,0.10458607623419805,0.10921813744245444,0.0036034815069735395,0.0035217068028936573,1.9199999999999997
133,24,6,8,Native,0-3,3.3753638494910825,3.55811435682806,110.43925058600207,116.96306639733208,0.5177860993325708,0.5284104034433434,0.0013998183822852973,0.0013279214464683388,7.12
134,24,9,4,Native,0-3,5.9652888666255715,6.191989954126555,93.45425663719746,110.80441280065153,1.4604239041659979,1.2361197736182818,0.0032112799264218212,0.0030937085710121205,6.2
135,24,10,5,Native,0-3,9.60673549305982,10.125636662958595,165.67370445354015,193.3238731947977,2.293132083878518,1.8577564540959943,0.0020957802773000586,0.0019883793430239887,9.82
136,25,2,5,Late,4-7,1.2784241791999034,1.3531111187313474,20.034765567128836,19.623467378080605,0.3654450766552926,0.3533617965955345,0.01097948002865423,0.010373451632586038,1.56
137,25,2,6,Late,4-7,1.6888217541503883,1.800898156746132,27.14627051087692,29.874468434493963,0.5449133198908747,0.3837599464420281,0.009095445236091576,0.008529402798739335,1.98
138,25,2,7,Late,4-7,0.9977816773117041,1.0573815500829276,15.118176093826634,15.164040209145304,0.286230027132383,0.2615523909489609,0.018472773411651426,0.017431545725221945,1.06
139,25,3,2,Late,4-7,2.537151550389781,2.678737203269288,35.48199726376626,46.33623187918372,1.020158951416267,0.7715815852569001,0.006326729341684667,0.0059923277052191335,2.9
140,25,3,4,Late,4-7,4.343336780163207,4.650228289909595,42.828969689160566,55.73105566632275,1.7152636522212727,1.2887404812812255,0.006830535090936537,0.0063797543774430174,3.68
141,25,6,4,Late,4-7,1.4811432692564617,1.5854965960806753,23.842319829657015,32.07615215534931,0.4711804710195343,0.34127575831379314,0.008007558566064017,0.007480521561901322,1.98
142,25,6,8,Late,4-7,1.8926537176195877,2.0211409665021836,60.1591244807734,72.30348305888519,0.8629457572918438,0.7015843971292158,0.0020051001651807377,0.0018776326563686384,4.48
